id,von,bis,hoehe,breite,laenge,name,bundesland
5705,19921027,20220502,268,49.7704,9.9576, W�rzburg,Bayern
5711,20060101,20220502,390,49.1295,9.4945, W�stenrot-Oberheimbach,Baden-W�rttemberg
5717,20060706,20220502,134,51.2256,7.1052, Wuppertal-Buchenhofen,Nordrhein-Westfalen
5719,20041001,20091209,235,51.2051,7.2, Remscheid,Nordrhein-Westfalen
5721,20020820,20220502,474,48.3569,12.7679, Wurmannsquick-Egelsberg,Bayern
5724,20050614,20220502,690,47.9589,10.0139, Rot an der Rot-Buch,Baden-W�rttemberg
5729,20050217,20220502,6,52.7606,14.2174, Wustrow,Brandenburg
5731,20030716,20220502,395,47.6783,8.3801, Wut�schingen-Ofteringen,Baden-W�rttemberg
5732,20050701,20220502,8,54.6928,8.5271, Wrixum/F�hr,Schleswig-Holstein
5733,20050501,20220502,20,51.697,6.3974, Xanten,Nordrhein-Westfalen
5745,20040420,20220503,51,52.9663,13.3268, Zehdenick,Brandenburg
5750,20041201,20220502,264,51.0314,12.1495, Zeitz,Sachsen-Anhalt
5758,20020619,20211110,293,49.8709,6.7074, Zemmer (Forsthaus M�lch,Rheinland-Pfalz
5762,20090120,20220502,83,53.0704,10.8831, Zernien,Niedersachsen
5763,20050201,20220502,141,51.238,11.8295, Freyburg/Unstrut-Zeuchf,Sachsen-Anhalt
5767,20051115,20220502,27,53.2989,9.3352, Heeslingen-Wiersdorf,Niedersachsen
5779,19911102,20220502,877,50.7313,13.7516, Zinnwald-Georgenfeld,Sachsen
5792,19940731,20220502,2965,47.421,10.9848, Zugspitze,Bayern
5793,20020806,20220503,443,48.424,10.5924, Zusmarshausen,Bayern
5797,20051201,20220502,349,50.6879,12.4329, Lichtentanne,Sachsen
5800,20060712,20220502,615,49.028,13.2385, Zwiesel,Bayern
5814,20060712,20220502,321,51.5504,11.403, Mansfeld-Annarode,Sachsen-Anhalt
5822,20040701,20220503,40,52.863,8.6988, Bassum,Niedersachsen
5825,20030108,20220503,40,52.6198,12.7867, Berge,Brandenburg
5839,19970710,20220502,0,53.3881,7.2287, Emden,Niedersachsen
5840,20060912,20220502,600,48.6671,8.47, Enzkl�sterle,Baden-W�rttemberg
5854,20050609,20220502,24,53.6557,13.5369, Friedland,Mecklenburg-Vorpommern
5856,19970103,20220502,476,48.5451,13.3532, F�rstenzell,Bayern
5871,19981223,20220502,497,49.9463,7.2645, Hahn,Rheinland-Pfalz
5906,19930715,20220502,98,49.5063,8.5584, Mannheim,Baden-W�rttemberg
5930,20070928,20220502,1,54.641,10.0238, Sch�nhagen (Ostseebad),Schleswig-Holstein
5941,20070301,20220502,686,47.6754,12.4698, Reit im Winkl,Bayern
5943,20070101,20220502,462,50.8377,14.0719, Rosenthal-Bielatal,Sachsen
6093,20040501,20220502,62,53.2139,10.4704, Wendisch Evern,Niedersachsen
6100,20020517,20220502,120,49.8626,8.2311, Hahnheim,Rheinland-Pfalz
6105,20030710,20220503,14,54.3194,9.8051, Ostenfeld (Rendsburg),Schleswig-Holstein
6109,20040601,20220503,51,53.3837,14.3727, Grambow-Schwennenz,Mecklenburg-Vorpommern
6129,20040916,20220502,291,51.0593,14.4266, Sohland/Spree,Sachsen
6157,20070822,20220503,8,53.641,8.0808, Wangerland-Hooksiel,Niedersachsen
6158,20040928,20220503,454,49.2249,10.6085, Weidenbach-Weiherschnei,Bayern
6159,20081201,20220502,8,52.9542,7.3196, D�rpen,Niedersachsen
6161,20020830,20220502,311,48.7577,13.0134, Osterhofen-Thundorf,Bayern
6163,20061110,20220502,27,54.1654,10.3519, D�rnick,Schleswig-Holstein
6169,20030424,20091112,761,47.761,10.8601, Steingaden-Riesen,Bayern
6170,20030312,20220502,39,52.0192,14.7254, Coschen,Brandenburg
6178,20020618,20030630,427,49.8572,11.6978, Creu�en-Unterschwarzach,Bayern
6182,20040331,20120327,404,48.7757,12.1743, Mallersdorf-Pfaffenberg,Bayern
6186,20030709,20190526,268,50.1989,7.8651, Nast�tten,Rheinland-Pfalz
6190,20041112,20220130,599,47.6392,13.0068, Berchtesgaden,Bayern
6191,20030327,20220502,684,48.9023,13.1442, Kirchberg/Niederbayern,Bayern
6195,20021009,20220502,305,49.956,11.0189, Sche�litz-K�ttensdorf,Bayern
6197,20060928,20220502,258,51.8664,9.271, L�gde-Paenbruch,Nordrhein-Westfalen
6199,20040825,20220503,17,54.2484,13.0418, Steinhagen-Negast,Mecklenburg-Vorpommern
6200,20021121,20220502,262,50.0785,10.4887, K�nigsberg/Bayern-Holzh,Bayern
6201,20021120,20220502,339,49.5334,10.1546, Simmershofen-Adelhofen,Bayern
6203,20040805,20220502,1088,47.6279,12.9015, Ramsau-Schwarzeck/Schmu,Bayern
6215,20030327,20220502,689,49.2154,13.0662, Lam-Lambach,Bayern
6216,20020912,20220502,464,49.5321,12.2798, Trausnitz-Reisach,Bayern
6217,20040720,20220502,190,49.2406,6.9351, Saarbr�cken-Burbach,Saarland
6257,20060422,20220502,723,47.6279,11.5166, Jachenau-Tannern,Bayern
6258,20030101,20220503,461,47.6845,9.4409, Friedrichshafen-Unterra,Baden-W�rttemberg
6259,20040601,20220503,524,49.021,9.6033, Gro�erlach-Mannenweiler,Baden-W�rttemberg
6260,20021201,20220502,385,49.3328,9.704, Ingelfingen-Stachenhaus,Baden-W�rttemberg
6262,20021101,20220503,412,48.7695,9.8737, Schw�bisch Gm�nd-Weiler,Baden-W�rttemberg
6263,20040201,20220502,445,47.7738,8.8219, Singen,Baden-W�rttemberg
6264,20040601,20220503,457,51.414,8.65, Brilon-Th�len,Nordrhein-Westfalen
6265,20021212,20220503,36,52.3613,12.3867, Wusterwitz,Brandenburg
6266,20040901,20220503,112,52.0304,10.9626, Huy-Pabstorf,Sachsen-Anhalt
6268,20021101,20220502,173,50.7577,11.5178, Uhlst�dt-Kirchhasel-Nie,Th�ringen
6269,20070401,20220502,731,50.3594,12.4836, Klingenthal-Kamerun,Sachsen
6270,20040901,20220502,330,50.4099,10.4901, R�mhild-S�lzdorf,Th�ringen
6271,20040601,20220502,274,50.9771,12.0044, Crossen/Elster-Nickelsd,Th�ringen
6272,20041001,20220503,283,50.8426,10.2518, Moorgrund Gr�fen-Nitzen,Th�ringen
6273,20040601,20220502,36,52.5075,11.8551, Demker,Sachsen-Anhalt
6275,20031201,20220503,325,48.6705,9.4627, Notzingen,Baden-W�rttemberg
6276,20041101,20191031,235,51.4895,7.7813, Fr�ndenberg-Hohenheide,Nordrhein-Westfalen
6303,20021201,20220502,584,51.2915,8.5981, Willingen/Hochsauerland,Hessen
6305,20041201,20220503,193,51.2061,10.4978, M�hlhausen/Th�ringen-G�,Th�ringen
6310,20040801,20220503,1,54.1049,13.8239, Karlshagen,Mecklenburg-Vorpommern
6312,20040928,20200930,362,49.5314,10.6418, Markt Erlbach-Mosbach,Bayern
6313,20041201,20220502,440,51.2488,7.4672, Breckerfeld-Wengeberg,Nordrhein-Westfalen
6314,20050801,20220502,306,51.0507,13.3003, Nossen,Sachsen
6336,20051101,20220503,288,50.0132,9.654, Lohr/Main-Halsbach,Bayern
6337,20040801,20220503,59,51.7663,7.5194, L�dinghausen-Brochtrup,Nordrhein-Westfalen
6338,20041021,20220502,605,50.3618,11.6223," Steben, Bad",Bayern
6344,20041201,20220503,168,50.394,8.1423, Runkel-Ennerich,Hessen
6346,20050201,20220503,531,48.207,11.2035, Maisach-Galgen,Bayern
6347,20050301,20220503,305,50.0579,10.2972, Schonungen-Mainberg,Bayern
7075,20050201,20220503,429,48.702,11.8493, Elsendorf-Horneck,Bayern
7077,20041101,20220502,54,53.5255,13.0161, Gro� Lukow,Mecklenburg-Vorpommern
7078,20041101,20220502,33,53.5035,11.0014, Dodow,Mecklenburg-Vorpommern
7079,20041201,20220502,14,53.0443,14.2423, Berkholz-Meyenburg,Brandenburg
7099,20041101,20211003,187,52.0111,10.3966, Liebenburg-Othfresen,Niedersachsen
7104,20050101,20220502,220,49.6206,9.6036, K�nigheim,Baden-W�rttemberg
7105,20050411,20220503,719,47.835,12.6548, Siegsdorf-H�ll,Bayern
7106,20060901,20220503,105,52.0714,8.4565, Bielefeld-Deppendorf,Nordrhein-Westfalen
7135,20041125,20160515,565,47.9655,9.6804, Aulendorf-Haslach,Baden-W�rttemberg
7138,20041125,20220502,682,48.2962,9.0701, Burladingen-Hausen,Baden-W�rttemberg
7187,20041201,20220503,194,49.7636,9.4063, Freudenberg/Main-Boxtal,Baden-W�rttemberg
7244,19911101,20040930,62,53.1424,13.0319, Neuglobsow (HM),Brandenburg
7285,20050801,20220502,68,52.4153,11.0758, Oebisfelde-Weferlingen-,Sachsen-Anhalt
7298,20050701,20220503,5,54.5268,9.0425, Hattstedt,Schleswig-Holstein
7319,20050301,20220503,435,48.7374,10.7393, Donauw�rth-Osterweiler,Bayern
7321,20050901,20220502,160,51.1507,11.3321, Olbersleben,Th�ringen
7322,20050901,20220502,699,47.766,7.7214, Malsburg-Marzell,Baden-W�rttemberg
7323,20060101,20220502,150,51.2359,12.5517, Belgershain,Sachsen
7326,20060101,20220502,134,51.1918,12.7645, Grimma-Kleinbothen,Sachsen
7327,20070501,20220502,323,50.8836,13.0425, Frankenberg-Altenhain,Sachsen
7328,20060101,20220502,219,50.8544,12.4216, Ponitz,Th�ringen
7329,20051101,20220503,465,50.5467,12.2863, Treuen,Sachsen
7330,20051001,20220502,159,51.4633,7.978, Arnsberg-Neheim,Nordrhein-Westfalen
7331,20050901,20220503,467,48.6099,10.2674, Hermaringen-Allewind,Baden-W�rttemberg
7333,20060701,20220502,727,50.5803,13.2966, Marienberg-R�benau,Sachsen
7334,20060301,20220502,131,51.2651,13.3588, Hirschstein-Heyda,Sachsen
7335,20060201,20220502,138,51.3658,13.5801, Strauch,Sachsen
7337,20070401,20220502,332,51.0577,14.6128, D�rrhennersdorf,Sachsen
7341,20050715,20220502,119,50.09,8.7862, Offenbach-Wetterpark,Hessen
7343,20060401,20220502,689,50.62,13.4817, Deutschneudorf-Br�derwi,Sachsen
7344,20060601,20220502,45,51.2992,6.2013, Nettetal-H�lst,Nordrhein-Westfalen
7350,20060801,20220502,585,49.1088,12.8231, Prackenbach-Neuh�usl,Bayern
7351,20050909,20220502,116,53.3176,13.4175, Feldberg/Mecklenburg,Mecklenburg-Vorpommern
7361,20060701,20220502,72,52.7363,10.344, Scharnhorst-Marwede,Niedersachsen
7364,20070101,20220502,74,51.6818,12.3053, Je�nitz,Sachsen-Anhalt
7367,20071201,20220502,144,51.9643,9.8072, Alfeld,Niedersachsen
7368,20071101,20220502,312,51.0007,10.3621, Eisenach,Th�ringen
7369,20071101,20220502,475,49.1623,10.3661, Feuchtwangen-Heilbronn,Bayern
7370,20061211,20220502,499,49.391,12.6838, Waldm�nchen,Bayern
7372,20061001,20220502,37,52.7321,11.7123, Ballerstedt,Sachsen-Anhalt
7373,20060301,20220502,3,53.5984,6.7024, Borkum-Flugplatz,Niedersachsen
7374,20060301,20220502,46,52.0813,6.9409, Ahaus,Nordrhein-Westfalen
7375,20091001,20220503,411,49.645,7.5003, Homberg-Sch�nbornerhof,Rheinland-Pfalz
7378,20060701,20220502,101,51.0149,6.5173, Bedburg-Weiler Hohenhol,Nordrhein-Westfalen
7382,20061201,20220502,666,47.7096,9.866, Wangen/Allg�u-Schwaderb,Baden-W�rttemberg
7389,20061201,20220503,82,52.7461,13.8427, Heckelberg,Brandenburg
7393,20100101,20220502,116,51.4492,14.2533, Hoyerswerda,Sachsen
7394,20060602,20220502,622,50.0315,11.9745, Wunsiedel-Sch�nbrunn,Bayern
7395,20071201,20220502,351,48.6595,12.5388, Gottfrieding,Bayern
7396,20080501,20220502,740,50.5084,9.2246, Hoherodskopf/Vogelsberg,Hessen
7403,20070401,20220502,672,47.7955,10.0325, Leutkirch-Herlazhofen,Baden-W�rttemberg
7410,20110201,20220502,350,50.7513,9.0224, Neu-Ulrichstein,Hessen
7412,20061001,20220502,340,50.0083,9.4238, Neuh�tten/Spessart,Bayern
7418,20080601,20220502,321,50.802,12.6366, Sankt Egidien-Kuhschnap,Sachsen
7419,20061201,20220503,389,50.661,12.0756, Langenwetzendorf-G�tten,Th�ringen
7420,20070401,20220503,246,51.1044,11.7112, Naumburg/Saale-Kreipitz,Sachsen-Anhalt
7421,20061201,20220502,383,50.325,11.2395, F�ritztal-Neuhaus-Schie,Th�ringen
7423,20070401,20220502,163,51.3445,14.8387, H�hnichen-Trebus,Sachsen
7424,20061201,20220503,457,47.7724,12.9073, Piding,Bayern
7425,20060801,20220502,212,52.1384,9.1119, Rinteln-Volksen,Niedersachsen
7427,20070901,20220503,17,54.0188,9.9255, Padenstedt (Pony-Park),Schleswig-Holstein
7428,20070501,20220503,397,50.4167,10.8156, Veilsdorf,Th�ringen
7429,20061201,20220502,336,49.4249,9.3316, Seckach,Baden-W�rttemberg
7430,20071004,20220502,258,50.0615,10.8129, Rentweinsdorf-Treinfeld,Bayern
7431,20071101,20220502,604,48.013,11.5524, Oberhaching-Laufzorn,Bayern
7432,20070501,20220502,72,52.6423,10.6627, Wittingen-Vorhop,Niedersachsen
7499,20070701,20220301,172,50.7893,7.828, Wallmenroth,Rheinland-Pfalz
7500,20070101,20220502,82,52.0223,12.1597, Badewitz bei Zerbst,Sachsen-Anhalt
13654,20070801,20220502,285,51.0063,13.471, Wilsdruff-Mohorn,Sachsen
13662,20070501,20160128,37,52.3031,12.4029, Boecke,Brandenburg
13669,20070901,20220502,55,52.0087,7.8519, Ostbevern-Schirlheide,Nordrhein-Westfalen
13670,20070601,20220503,24,51.5088,6.7018, Duisburg-Baerl,Nordrhein-Westfalen
13671,20071201,20220502,221,50.9655,7.2753, Overath-B�ke,Nordrhein-Westfalen
13672,20080501,20141231,593,48.5537,9.9877, Weidenstetten,Baden-W�rttemberg
13674,20070801,20220502,237,49.2943,8.9053, Waibstadt,Baden-W�rttemberg
13675,20071101,20220503,77,52.0818,9.4077, Hameln-Hastenbeck,Niedersachsen
13687,20071101,20220502,18,53.9005,9.8308, Weddelbrook,Schleswig-Holstein
13688,20080301,20220502,128,51.1693,12.2618, Pegau,Sachsen
13696,20071201,20220503,60,51.5966,7.4048, Waltrop-Abdinghof,Nordrhein-Westfalen
13698,20080101,20220502,504,48.8767,10.2413, Lauchheim (Berghof),Baden-W�rttemberg
13699,20080301,20220502,66,52.3667,10.1266, Lehrte-Sievershausen,Niedersachsen
13700,20080501,20220503,203,51.3329,7.3412, Gevelsberg-Oberbr�king,Nordrhein-Westfalen
13710,20080401,20220503,490,48.5734,12.2576, Landshut-Reithof,Bayern
13711,20071201,20220503,289,50.682,11.515, Kr�lpa-Rockendorf,Th�ringen
13712,20080901,20220502,44,52.1488,13.8359, M�nchehofe,Brandenburg
13713,20071101,20220503,386,51.0899,7.6289, Meinerzhagen-Redlendorf,Nordrhein-Westfalen
13715,20080301,20220502,604,48.1003,9.8058, Biberach an der Ri�-Ber,Baden-W�rttemberg
13716,20080901,20220502,818,47.819,8.5774, Blumberg-Randen,Baden-W�rttemberg
13774,20080601,20220502,328,50.8138,12.2985, Crimmitschau-Mannichswa,Sachsen
13776,20080301,20110103,85,52.1789,9.9524, Hildesheim-Drispenstedt,Niedersachsen
13777,20080601,20220502,110,52.2467,10.9592, Helmstedt-Emmerstedt,Niedersachsen
13965,20081201,20220503,619,48.2639,8.8134, Balingen-Bronnhaupten,Baden-W�rttemberg
14157,20091201,20220503,168,49.5686,8.7013, Birkenau,Hessen
15000,20110401,20220502,231,50.7983,6.0244, Aachen-Orsbach,Nordrhein-Westfalen
15003,20110501,20220502,19,53.8753,13.2101, Schmarsow,Mecklenburg-Vorpommern
15207,20131101,20220502,317,51.2835,9.359, Schauenburg-Elgershause,Hessen
15444,20140901,20220502,593,48.4418,9.9216, Ulm-M�hringen,Baden-W�rttemberg
15478,20150201,20220502,515,48.2095,10.0654, Dietenheim,Baden-W�rttemberg
15490,20161201,20220502,298,50.8053,8.3382, Eschenburg-Eibelshausen,Hessen
15512,20160901,20220502,66,53.0859,10.1611, Rehlingen-Ehlbeck,Niedersachsen
15514,20171101,20220502,106,49.3767,8.6177, Heidelberg-Kurpfalzhof,Baden-W�rttemberg
15555,20160501,20220502,815,47.8761,10.5849, Kaufbeuren-Oberbeuren,Bayern
15810,20180601,20220502,567,47.9261,9.5926, Aulendorf-Bl�nried,Baden-W�rttemberg
15813,20220301,20220502,40,52.5126,7.4131, Lingen-Baccum,Niedersachsen
19140,20201101,20220502,278,50.9657,10.6988, Gotha,Th�ringen
19171,20200901,20220502,13,54.0038,9.8553, Hasenkrug-Hardebek,Schleswig-Holstein
19172,20200901,20220502,48,54.0246,9.388, Wacken,Schleswig-Holstein
19299,20210401,20220502,463,49.8713,11.7883, Speichersdorf,Bayern
